card_id,account_id,card_type,masked_pan,expiry,status
CARD-0001,ACC-0170,credit,############1297,2029-09,active
CARD-0002,ACC-0163,debit,1321-5997-3877-4592,2030-07,active
CARD-0003,ACC-0069,credit,############3523,2029-03,active
CARD-0004,ACC-0065,debit,############1748,2025-07,active
CARD-0005,ACC-0100,debit,############1001,2030-12,active
CARD-0006,ACC-0060,debit,############3128,2027-12,closed
CARD-0007,ACC-0196,debit,############4134,2026-01,active
CARD-0008,ACC-0171,debit,############6747,2027-12,active
CARD-0009,ACC-0222,debit,3075-5047-8094-1553,2025-07,active
CARD-0010,ACC-0136,debit,############2634,2025-06,active
CARD-0011,ACC-0118,debit,############5267,2027-10,active
CARD-0012,ACC-0085,credit,############7678,2027-09,active
CARD-0013,ACC-0103,credit,############3993,2029-06,active
CARD-0014,ACC-0008,credit,############4581,2027-03,active
CARD-0015,ACC-0220,debit,############3227,2024-02,active
CARD-0016,ACC-0047,debit,############5065,2027-04,active
CARD-0017,ACC-0212,credit,############9073,2025-08,active
CARD-0018,ACC-0199,credit,############9255,2029-01,blocked
CARD-0019,ACC-0124,debit,############8651,2028-03,active
CARD-0020,ACC-0050,credit,############3213,2029-06,active
CARD-0021,ACC-0172,credit,############8105,2026-07,active
CARD-0022,ACC-0093,debit,############9355,2028-07,active
CARD-0023,ACC-0216,credit,############2156,2024-02,active
CARD-0024,ACC-0186,credit,############9310,2025-03,active
CARD-0025,ACC-0148,credit,############2217,2026-03,active
CARD-0026,ACC-0160,debit,############4814,2027-10,active
CARD-0027,ACC-0042,debit,############6497,2026-09,active
CARD-0028,ACC-0218,debit,############8836,2026-12,active
CARD-0029,ACC-0041,debit,############7415,2030-02,active
CARD-0030,ACC-0175,debit,############5369,2029-11,active
CARD-0031,ACC-0078,credit,############2244,2028-04,expired
CARD-0032,ACC-0091,debit,############4784,2029-11,active
CARD-0033,ACC-0021,debit,############3435,2027-06,active
CARD-0034,ACC-0170,credit,############9876,2030-02,active
CARD-0035,ACC-0024,credit,############2647,2025-12,active
CARD-0036,ACC-0132,credit,############2445,2026-05,active
CARD-0037,ACC-0170,debit,############2286,2028-08,active
CARD-0038,ACC-0054,debit,############7901,2030-10,active
CARD-0039,ACC-0044,debit,############6078,2029-06,active
CARD-0040,ACC-0137,credit,############7516,2024-05,active
CARD-0041,ACC-0164,credit,5853-3263-1910-5165,2029-12,closed
CARD-0042,ACC-0190,credit,############1064,2025-03,active
CARD-0043,ACC-0090,debit,############8182,2025-03,active
CARD-0044,ACC-0036,credit,############3547,2024-02,active
CARD-0045,ACC-0041,credit,############5753,2029-10,closed
CARD-0046,ACC-0001,debit,############8306,2024-10,active
CARD-0047,ACC-0041,credit,############9754,2027-02,active
CARD-0048,ACC-0121,credit,############7648,2024-06,active
CARD-0049,ACC-0022,debit,############3711,2027-06,active
CARD-0050,ACC-0146,credit,5467-3761-8354-5004,2030-12,active
CARD-0051,ACC-0172,debit,############9298,2026-03,active
CARD-0052,ACC-0081,credit,############5476,2026-12,closed
CARD-0053,ACC-0176,credit,7906-8205-2483-5148,2029-05,active
CARD-0054,ACC-0146,credit,2937-2478-3244-4501,2024-01,active
CARD-0055,ACC-0183,debit,############4165,2030-10,active
CARD-0056,ACC-0166,debit,############9437,2030-02,active
CARD-0057,ACC-0125,credit,############1589,2030-03,active
CARD-0058,ACC-0218,credit,############8792,2028-01,active
CARD-0059,ACC-0066,credit,############1639,2026-08,active
CARD-0060,ACC-0093,debit,############6510,2029-03,expired
CARD-0061,ACC-0045,credit,############9488,2024-05,active
CARD-0062,ACC-0056,credit,5567-1763-2239-4450,2029-04,active
CARD-0063,ACC-0180,debit,############2059,2024-05,active
CARD-0064,ACC-0154,credit,############4853,2029-07,active
CARD-0065,ACC-0104,credit,############5172,2029-07,active
CARD-0066,ACC-0121,credit,############6554,2027-10,active
CARD-0067,ACC-0069,debit,############3756,2027-11,active
CARD-0068,ACC-0213,credit,############9768,2028-02,active
CARD-0069,ACC-0207,credit,############6367,2026-10,active
CARD-0070,ACC-0170,debit,1223-4379-4200-7647,2027-10,active
CARD-0071,ACC-0198,credit,############1511,2026-12,active
CARD-0072,ACC-0182,debit,############5058,2026-12,active
CARD-0073,ACC-0077,credit,############6017,2026-08,active
CARD-0074,ACC-0076,credit,############6335,2027-07,active
CARD-0075,ACC-0044,debit,############5903,2030-06,closed
CARD-0076,ACC-0105,debit,8532-3471-5660-4105,2030-05,active
CARD-0077,ACC-0048,credit,############9572,2026-12,active
CARD-0078,ACC-0089,debit,############9512,2030-02,active
CARD-0079,ACC-0095,debit,############9537,2029-07,active
CARD-0080,ACC-0152,debit,############8315,2026-04,expired
CARD-0081,ACC-0129,debit,############6167,2027-03,active
CARD-0082,ACC-0126,debit,############3167,2024-02,active
CARD-0083,ACC-0021,debit,############3862,2029-11,active
CARD-0084,ACC-0032,debit,############3029,2029-03,active
CARD-0085,ACC-0168,credit,############9437,2027-02,active
CARD-0086,ACC-0109,credit,############5203,2028-05,active
CARD-0087,ACC-0105,debit,############4166,2026-05,active
CARD-0088,ACC-0215,credit,############5840,2024-07,active
CARD-0089,ACC-0187,debit,############5167,2025-12,closed
CARD-0090,ACC-0025,credit,############9775,2024-02,active
CARD-0091,ACC-0029,debit,############6945,2027-08,active
CARD-0092,ACC-0218,debit,2494-6853-7615-2733,2028-01,active
CARD-0093,ACC-0208,credit,############4405,2030-06,active
CARD-0094,ACC-0106,credit,############2453,2028-06,active
CARD-0095,ACC-0154,debit,############3727,2027-03,expired
CARD-0096,ACC-0097,credit,############6930,2026-05,active
CARD-0097,ACC-0035,debit,############1062,2024-07,active
CARD-0098,ACC-0043,credit,############8309,2026-04,active
CARD-0099,ACC-0184,debit,############2554,2029-02,active
CARD-0100,ACC-0061,debit,############5191,2029-11,active
CARD-0101,ACC-0211,debit,############6980,2027-10,active
CARD-0102,ACC-0167,credit,############1192,2026-11,active
CARD-0103,ACC-0202,debit,############3227,2025-11,active
CARD-0104,ACC-0150,debit,############8896,2027-08,active
CARD-0105,ACC-0082,credit,############1091,2025-09,active
CARD-0106,ACC-0100,credit,############1703,2024-02,active
CARD-0107,ACC-0110,credit,############8365,2024-08,active
CARD-0108,ACC-0046,debit,############8039,2024-07,active
CARD-0109,ACC-0062,credit,############3722,2027-03,active
CARD-0110,ACC-0114,debit,############6538,2028-03,active
CARD-0111,ACC-0131,debit,############9924,2026-07,active
