customer_id,first_name,last_name,dob,email,phone,address,tax_id,created_at
CUST-0001,Danielle,Johnson,1959-03-19,donaldgarcia@example.net,+61405174340,"6 Anthony Driveway, North Anna",407180549,2024-07-23T18:45:35Z
CUST-0002,Jennifer,Miles,1969-01-14,zlawrence@example.org,+61462080028,"6 Ramirez Driveway, Curtisfurt",497152584,2024-08-17T20:29:40Z
CUST-0003,Colin,Abbott,1981-07-25,blairamanda@example.com,+61460826028,"4 Ray Tor, North Donnaport",742965141,2025-02-10T01:49:39Z
CUST-0004,Tracie,Wyatt,1999-06-07,,+61402571223,"53 Miles Subway, West Amandabury",651987628,2025-04-19T03:00:22Z
CUST-0005,Frank,Gray,2007-10-19,gabriellecameron@example.org,+61449979283,"564 Jason Ring, Jasonfort",770562394,2024-02-14T04:05:06Z
CUST-0006,Randall,Rocha,1971-09-18,,+61458259639,"53/871 Michelle Cove, Port Candace",522984920,2026-01-06T21:53:55Z
CUST-0007,Paul,Carlson,1972-05-03,tasha01@example.net,+61414402146,"146/704 William Circlet, Meaganhaven",980704510,2026-02-28T10:18:56Z
CUST-0008,Chelsea,Hernandez,1992-05-12,georgetracy@example.org,+61420598114,"Level 3 391 Jessica Bridge, West Donna",202803387,2026-01-22T05:20:35Z
CUST-0009,Stacey,Martin,1976-05-23,ibrandt@example.net,+61466568938,"4 Carney Spur, Samuelhaven",238195160,2024-05-06T09:54:55Z
CUST-0010,Shannon,Wright,1944-11-12,,+61480157097,"031 Michele Broadway, New Elizabeth",644039226,2025-09-30T03:03:33Z
CUST-0011,Jason,Anderson,2004-02-16,esanchez@example.com,+61424406109,"165 Jenkins Trunkway, East Brucemouth",504720337,2026-05-01T22:13:08Z
CUST-0012,Lauren,Rodriguez,1953-07-16,ltaylor@example.com,+61477748016,"Unit 17 1 Denise Reserve, East Sarabury",165724465,2025-12-26T21:45:52Z
CUST-0013,Gabriel,Tucker,1955-01-17,kbarrera@example.com,+61422243383,"47 Henderson Turn, Mooreport",417999149,2025-09-27T21:11:42Z
CUST-0014,Jeff,Brown,1990-07-17,adkinsbrian@example.net,+61470095574,"Suite 081 191 Richard Ring, North Christine",769501711,2026-03-22T02:43:25Z
CUST-0015,Robert,Silva,1976-01-23,james53@example.com,+61487776718,"Suite 475 079 Charles Drive, Davidstad",797665273,2024-08-09T21:46:40Z
CUST-0016,Nicole,Suarez,1965-08-21,samueldaniels@example.com,+61412629714,"8 Huynh Circle, New Darrell",768670213,2025-03-24T00:26:18Z
CUST-0017,Daniel,Tran,1959-01-12,jenniferharris@example.net,+61497092546,"4/164 Adam Walkway, New Evan",455703813,2025-08-01T04:44:38Z
CUST-0018,Scott,Thornton,1978-08-27,jonesnicole@example.org,+61489135361,"98 Russell Beach, Michaelton",852859605,2025-04-12T17:55:35Z
CUST-0019,Rachel,Clark,1957-06-24,gomezanita@example.com,+61416956806,"226 Harry Grove, Phambury",186062031,2024-04-27T12:21:57Z
CUST-0020,Joseph,Cobb,1947-11-11,garrisonjeffrey@example.com,+61406723938,"Level 3 036 Ramirez Bridge, Michaelhaven",735019865,2025-10-04T10:35:59Z
CUST-0021,Ricardo,Zavala,1976-12-21,wilsontara@example.org,+61497749200,"Apt. 196 56 Paul River, New Bradley",299724558,2024-08-16T01:59:30Z
CUST-0022,Ryan,Meyer,1995-05-10,michaeljones@example.net,+61409442366,"148/65 Terry Ride, South Robert",692673086,2024-08-26T19:52:30Z
CUST-0023,Shelby,Byrd,2001-11-25,richard04@example.com,+61439863486,"99 Marshall Parade, St. Laura",631425008,2023-12-28T10:50:09Z
CUST-0024,Susan,Fitzgerald,1985-04-24,zachary95@example.org,+61495989581,"4 Lindsay Court, North Johnfort",565996871,2026-05-24T06:46:35Z
CUST-0025,Cheryl,Mack,1971-06-25,jennifercruz@example.com,+61455690194,"016 Gregory Tollway, Williamsbury",746243647,2024-05-04T20:57:17Z
CUST-0026,Samantha,Martinez,1949-07-30,jcontreras@example.net,+61448066206,"9/8 Rivas Retreat, Merrittfort",236533496,2024-09-13T20:51:38Z
